iter	Passed	Remaining
0	57	57675
1	58	29041
2	58	19438
3	59	14702
4	59	11819
5	59	9883
6	60	8532
7	60	7504
8	60	6702
9	61	6061
10	61	5530
11	61	5093
12	62	4723
13	62	4403
14	62	4132
15	63	3897
16	63	3683
17	64	3497
18	64	3329
19	64	3176
20	65	3040
21	65	2918
22	65	2801
23	66	2699
24	66	2601
25	67	2510
26	67	2430
27	67	2355
28	68	2283
29	68	2216
30	68	2151
31	69	2091
32	69	2041
33	70	1991
34	70	1942
35	70	1894
36	71	1850
37	71	1809
38	71	1769
39	72	1731
40	72	1695
41	72	1660
42	73	1626
43	73	1597
44	73	1567
45	74	1538
46	74	1510
47	74	1484
48	75	1458
49	75	1433
50	75	1409
51	76	1388
52	76	1369
53	76	1348
54	77	1328
55	77	1311
56	78	1292
57	78	1273
58	78	1255
59	78	1237
60	79	1220
61	79	1204
62	80	1190
63	80	1175
64	80	1161
65	81	1148
66	81	1134
67	81	1122
68	82	1109
69	82	1100
70	83	1088
71	83	1076
72	83	1066
73	84	1055
74	84	1043
75	85	1034
76	85	1024
77	85	1013
78	86	1003
79	86	992
80	86	984
81	87	975
82	87	964
83	87	959
84	88	951
85	88	945
86	89	937
87	89	929
88	89	921
89	90	913
90	90	905
91	91	898
92	91	890
93	91	884
94	92	877
95	92	870
96	92	864
97	93	858
98	93	851
99	93	845
100	94	838
101	94	833
102	94	826
103	95	821
104	95	815
105	96	810
106	96	804
107	96	798
108	96	792
109	97	788
110	97	783
111	98	778
112	98	772
113	98	767
114	99	763
115	99	758
116	99	753
117	100	748
118	100	743
119	100	739
120	101	735
121	101	730
122	101	725
123	102	721
124	102	716
125	102	712
126	103	708
127	103	704
128	103	699
129	104	696
130	104	692
131	104	689
132	105	685
133	105	682
134	105	678
135	106	674
136	106	671
137	106	667
138	107	664
139	107	661
140	108	658
141	108	655
142	108	652
143	109	650
144	109	647
145	110	644
146	110	641
147	111	639
148	111	636
149	111	633
150	112	630
151	112	628
152	113	625
153	113	623
154	113	620
155	114	617
156	114	614
157	114	612
158	115	608
159	115	606
160	115	602
161	115	599
162	116	597
163	116	595
164	117	593
165	117	590
166	117	588
167	118	586
168	118	583
169	119	582
170	120	584
171	120	582
172	121	579
173	121	577
174	121	574
175	122	573
176	122	571
177	123	569
178	123	567
179	124	565
180	124	562
181	124	560
182	125	558
183	125	555
184	125	553
185	126	551
186	126	549
187	126	547
188	127	545
189	127	543
190	127	541
191	128	538
192	128	537
193	128	535
194	129	534
195	129	532
196	130	530
197	130	528
198	130	526
199	131	524
200	131	523
201	131	521
202	132	519
203	132	518
204	133	516
205	133	514
206	133	512
207	134	511
208	134	509
209	135	508
210	135	506
211	136	506
212	136	505
213	137	503
214	137	501
215	137	500
216	138	498
217	138	497
218	138	495
219	139	494
220	139	492
221	140	490
222	140	488
223	140	487
224	141	485
225	141	483
226	141	482
227	142	481
228	142	480
229	143	479
230	143	477
231	143	476
232	144	474
233	144	473
234	144	472
235	145	470
236	145	468
237	145	466
238	146	465
239	146	463
240	146	462
241	147	461
242	147	459
243	147	458
244	148	457
245	148	455
246	149	454
247	149	452
248	149	451
249	149	449
250	150	448
251	150	447
252	151	446
253	151	444
254	151	443
255	152	441
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	434
262	154	433
263	155	432
264	155	431
265	155	430
266	156	429
267	156	428
268	156	426
269	157	425
270	157	424
271	158	422
272	158	421
273	158	420
274	159	419
275	159	418
276	159	417
277	160	416
278	160	415
279	161	414
280	161	413
281	161	412
282	162	411
283	162	409
284	162	408
285	163	407
286	163	406
287	164	405
288	164	404
289	164	403
290	164	401
291	165	400
292	165	399
293	165	398
294	166	397
295	166	395
296	166	394
297	167	393
298	167	392
299	167	391
300	168	390
301	169	391
302	169	390
303	169	389
304	170	387
305	170	386
306	170	385
307	171	384
308	171	383
309	171	382
310	172	381
311	172	381
312	173	380
313	173	379
314	174	378
315	174	377
316	174	376
317	175	375
318	175	375
319	176	374
320	176	373
321	176	372
322	177	371
323	177	370
324	178	369
325	178	368
326	178	367
327	179	367
328	179	366
329	180	365
330	180	364
331	180	364
332	181	363
333	181	362
334	182	361
335	182	360
336	182	359
337	182	358
338	183	357
339	183	356
340	184	355
341	184	354
342	184	353
343	185	352
344	185	351
345	185	351
346	186	350
347	186	349
348	186	348
349	187	347
350	187	346
351	187	346
352	188	345
353	188	344
354	188	343
355	189	342
356	189	341
357	190	340
358	190	340
359	191	339
360	191	338
361	191	337
362	192	337
363	192	336
364	193	335
365	193	335
366	193	334
367	194	333
368	195	333
369	195	333
370	195	332
371	196	331
372	196	330
373	197	329
374	197	329
375	197	328
376	198	327
377	198	326
378	198	325
379	199	324
380	199	324
381	200	323
382	200	323
383	200	322
384	201	321
385	201	320
386	202	319
387	202	319
388	202	318
389	202	317
390	203	316
391	203	315
392	203	315
393	204	314
394	204	313
395	205	313
396	205	312
397	206	311
398	206	310
399	206	310
400	207	309
401	207	308
402	207	307
403	208	307
404	208	306
405	208	305
406	209	304
407	209	304
408	210	303
409	210	302
410	210	302
411	211	301
412	211	300
413	211	299
414	212	299
415	212	298
416	213	297
417	213	297
418	213	296
419	214	295
420	214	295
421	214	294
422	215	293
423	215	292
424	215	292
425	216	291
